SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
MA05PF0022,12/01/2000 14:01,,44.6,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
MA05PF0022,12/01/2000 14:01,,0.011,,,7540,MG/L,AMMONIA DISSOLVED,AMMONIAC DISSOUS,P
MA05PF0022,12/01/2000 14:01,,13.5,,,100431,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
MA05PF0022,12/01/2000 14:01,,8.99,,,6104,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
MA05PF0022,12/01/2000 14:01,,0.233,,,6901,MG/L,CARBON PARTICULATE ORGANIC,CARBONE ORGANIQUE PARTICULAIRE,P
MA05PF0022,12/01/2000 14:01,,1.73,,,17206,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
MA05PF0022,12/01/2000 14:01,,25,,,2021,REL UNITS,COLOUR TRUE,COULEUR VRAIE,P
MA05PF0022,12/01/2000 14:01,,103.7,,,109027,US/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
MA05PF0022,12/01/2000 14:01,,0.065,,,7110,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P
MA05PF0022,12/01/2000 14:01,,0.06,,,9117,MG/L,FLUORIDE DISSOLVED,FLUORURE DISSOUS,P
MA05PF0022,12/01/2000 14:01,,3.58,,,100432,MG/L,MAGNESIUM DISSOLVED/FILTERED,MAGNÉSIUM DISSOUS/FILTRÉ,P
MA05PF0022,12/01/2000 14:01,,0.019,,,7901,MG/L,NITROGEN PARTICULATE,AZOTE PARTICULAIRE,P
MA05PF0022,12/01/2000 14:01,,0.418,,,7657,MG/L,NITROGEN TOTAL DISSOLVED,AZOTE TOTAL DISSOUS,P
MA05PF0022,12/01/2000 14:01,,7.67,,,10301,PH,PH,PH,P
MA05PF0022,12/01/2000 14:01,,7.18,,,109026,PH,PH (FIELD),PH (TERRAIN),P
MA05PF0022,12/01/2000 14:01,,0.022,,,15423,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
MA05PF0022,12/01/2000 14:01,,0.014,,,15465,MG/L,PHOSPHORUS TOTAL DISSOLVED,PHOSPHORE TOTAL DISSOUS,P
MA05PF0022,12/01/2000 14:01,,0.86,,,100434,MG/L,POTASSIUM DISSOLVED/FILTERED,POTASSIUM DISSOUS/FILTRÉ,P
MA05PF0022,12/01/2000 14:01,,2,,,10401,MG/L,RESIDUE NONFILTRABLE,RÉSIDUS NON-FILTRABLES,P
MA05PF0022,12/01/2000 14:01,,2.54,,,100433,MG/L,SODIUM DISSOLVED/FILTERED,SODIUM DISSOUS/FILTRÉ,P
MA05PF0022,12/01/2000 14:01,,112,,,2041,US/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
MA05PF0022,12/01/2000 14:01,,5.4,,,16306,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
MA05PF0022,12/01/2000 14:01,,4.6,,,2081,NTU,TURBIDITY,TURBIDITÉ,P
MA05PF0022,12/01/2000 14:01,,4.14,,,110001,NTU,TURBIDITY (FIELD),TURBIDITÉ (TERRAIN),P
MA05PF0022,08/02/2000 14:20,,45,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
MA05PF0022,08/02/2000 14:20,,0.035,,,100195,MG/L,ALUMINUM DISSOLVED,ALUMINIUM DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.155,,,100216,MG/L,ALUMINUM TOTAL,ALUMINIUM TOTAL,P
MA05PF0022,08/02/2000 14:20,,0.009,,,7540,MG/L,AMMONIA DISSOLVED,AMMONIAC DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.0005,,,100253,MG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.009,,,100196,MG/L,BARIUM DISSOLVED,BARYUM DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.0112,,,100217,MG/L,BARIUM TOTAL,BARYUM TOTAL,P
MA05PF0022,08/02/2000 14:20,<,0.5,0.5,,100197,UG/L,BERYLLIUM DISSOLVED,BÉRYLLIUM DISSOUS,P
MA05PF0022,08/02/2000 14:20,<,0.05,0.05,,100218,UG/L,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,P
MA05PF0022,08/02/2000 14:20,,0.008,,,100211,MG/L,BORON DISSOLVED,BORE DISSOUS,P
MA05PF0022,08/02/2000 14:20,<,0.001,0.001,,100198,MG/L,CADMIUM DISSOLVED,CADMIUM DISSOUS,P
MA05PF0022,08/02/2000 14:20,<,0.0001,0.0001,,100219,MG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
MA05PF0022,08/02/2000 14:20,,12.9,,,100431,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
MA05PF0022,08/02/2000 14:20,,9.59,,,6104,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.177,,,6901,MG/L,CARBON PARTICULATE ORGANIC,CARBONE ORGANIQUE PARTICULAIRE,P
MA05PF0022,08/02/2000 14:20,,1.67,,,17206,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
MA05PF0022,08/02/2000 14:20,<,0.001,0.001,,100200,MG/L,CHROMIUM DISSOLVED,CHROME DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.0003,,,100221,MG/L,CHROMIUM TOTAL,CHROME TOTAL,P
MA05PF0022,08/02/2000 14:20,<,0.001,0.001,,100199,MG/L,COBALT DISSOLVED,COBALT DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.0001,,,100220,MG/L,COBALT TOTAL,COBALT TOTAL,P
MA05PF0022,08/02/2000 14:20,,25,,,2021,REL UNITS,COLOUR TRUE,COULEUR VRAIE,P
MA05PF0022,08/02/2000 14:20,,103.5,,,109027,US/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
MA05PF0022,08/02/2000 14:20,,0.001,,,100201,MG/L,COPPER DISSOLVED,CUIVRE DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.0012,,,100222,MG/L,COPPER TOTAL,CUIVRE TOTAL,P
MA05PF0022,08/02/2000 14:20,,0.079,,,7110,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.06,,,9117,MG/L,FLUORIDE DISSOLVED,FLUORURE DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.039,,,100202,MG/L,IRON DISSOLVED,FER DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.175,,,100223,MG/L,IRON TOTAL,FER TOTAL,P
MA05PF0022,08/02/2000 14:20,<,0.002,0.002,,100207,MG/L,LEAD DISSOLVED,PLOMB DISSOUS,P
MA05PF0022,08/02/2000 14:20,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P
MA05PF0022,08/02/2000 14:20,,0.001,,,100203,MG/L,LITHIUM DISSOLVED,LITHIUM DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.0014,,,100224,MG/L,LITHIUM TOTAL,LITHIUM TOTAL,P
MA05PF0022,08/02/2000 14:20,,4.54,,,100432,MG/L,MAGNESIUM DISSOLVED/FILTERED,MAGNÉSIUM DISSOUS/FILTRÉ,P
MA05PF0022,08/02/2000 14:20,,0.001,,,100204,MG/L,MANGANESE DISSOLVED,MANGANÈSE DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.0074,,,100225,MG/L,MANGANESE TOTAL,MANGANÈSE TOTAL,P
MA05PF0022,08/02/2000 14:20,<,0.001,0.001,,100205,MG/L,MOLYBDENUM DISSOLVED,MOLYBDÈNE DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.0001,,,100226,MG/L,MOLYBDENUM TOTAL,MOLYBDÈNE TOTAL,P
MA05PF0022,08/02/2000 14:20,<,0.002,0.002,,100206,MG/L,NICKEL DISSOLVED,NICKEL DISSOUS,P
MA05PF0022,08/02/2000 14:20,,0.0008,,,100227,MG/L,NICKEL TOTAL,NICKEL TOTAL,P
